Parameter,Group,Unit,CurrentValue,FoundationSource,EvidenceScope,ConfidenceLevel,Notes
HR,timing,bpm,75,bozkurt2019_adult_foundation,generic adult baseline,high,"Adult resting heart rate used as the pre-scaling reference."
V0.RA,chamber_v0,mL,3.5385,valenti2023_table3_3_keisya_baseline,adult chamber baseline,high,"Adult right-atrial unstressed volume."
V0.RV,chamber_v0,mL,8.4067,valenti2023_table3_3_keisya_baseline,adult chamber baseline,high,"Adult right-ventricular unstressed volume."
V0.LA,chamber_v0,mL,2.3085,valenti2023_table3_3_keisya_baseline,adult chamber baseline,high,"Adult left-atrial unstressed volume."
V0.LV,chamber_v0,mL,3.5385,valenti2023_table3_3_keisya_baseline,adult chamber baseline,high,"Adult left-ventricular unstressed volume."
E.LV.EA,elastance,mmHg/mL,3.5,valenti2023_table3_3_keisya_baseline,adult chamber baseline,high,"Adult LV active elastance component from the Keisya baseline package."
E.LV.EB,elastance,mmHg/mL,0.08,valenti2023_table3_3_keisya_baseline,adult chamber baseline,high,"Adult LV passive elastance component from the Keisya baseline package."
E.RV.EA,elastance,mmHg/mL,0.5,zhang2019_keisya_baseline,adult chamber baseline,medium,"Adult RV active elastance component from the Keisya baseline package."
E.RV.EB,elastance,mmHg/mL,0.042,zhang2019_keisya_baseline,adult chamber baseline,medium,"Adult RV passive elastance component from the Keisya baseline package."
E.LA.EA,elastance,mmHg/mL,0.35,zhang2019_keisya_baseline,adult chamber baseline,medium,"Adult left-atrial active elastance component."
E.LA.EB,elastance,mmHg/mL,0.2,zhang2019_keisya_baseline,adult chamber baseline,medium,"Adult left-atrial minimum elastance component."
E.RA.EA,elastance,mmHg/mL,0.3,zhang2019_keisya_baseline,adult chamber baseline,medium,"Adult right-atrial active elastance component."
E.RA.EB,elastance,mmHg/mL,0.1,zhang2019_keisya_baseline,adult chamber baseline,medium,"Adult right-atrial minimum elastance component."
R.SAR,systemic_vascular,mmHg*s/mL,0.05,bozkurt2019_table2,adult vascular baseline,high,"Adult proximal systemic arterial resistance."
C.SAR,systemic_vascular,mL/mmHg,1.33,keisya_baseline_sheet_consistency_correction,local tuning correction,medium,"Systemic arterial compliance selected to match the SHEET.xlsx adult baseline pressure targets."
L.SAR,systemic_vascular,mmHg*s^2/mL,1e-05,valenti2023_architecture_placeholder,architecture-specific derivation,low,"Small inertance placeholder carried by the Valenti-style flow state."
R.SC,systemic_vascular,mmHg*s/mL,0.8,keisya_baseline_sheet_consistency_correction,architecture-specific derivation,medium,"Systemic afterload split selected to match the SHEET.xlsx adult baseline pressure-flow targets."
C.SC,systemic_vascular,mL/mmHg,1,local_split_of_systemic_compliance,architecture-specific derivation,medium,"Systemic compliance is distributed across SAR and SC blocks in the current model."
R.SVEN,systemic_vascular,mmHg*s/mL,0.05,bozkurt2019_table2,adult vascular baseline,high,"Adult systemic venous resistance."
C.SVEN,systemic_vascular,mL/mmHg,30,bozkurt2019_table2,adult vascular baseline,high,"Adult systemic venous compliance."
L.SVEN,systemic_vascular,mmHg*s^2/mL,1e-05,valenti2023_architecture_placeholder,architecture-specific derivation,low,"Small inertance placeholder for the venous flow state."
V0.SAR,vascular_v0,mL,90.9,derived_from_current_C_and_nominal_pressure,architecture-specific derivation,medium,"Computed from current arterial compliance and nominal adult arterial pressure."
